STATE,BIOME,regionkey,Specie
AC,Amazonia,ACAmazonia,Terminalia grandis
AC,Amazonia,ACAmazonia,Hymenaea courbaril
AC,Amazonia,ACAmazonia,Bixa orellana
AC,Amazonia,ACAmazonia,Guazuma ulmifolia
AC,Amazonia,ACAmazonia,Apeiba tibourbou
AC,Amazonia,ACAmazonia,Handroanthus impetiginosus
AC,Amazonia,ACAmazonia,Schizolobium parahyba var. amazonicum
AC,Amazonia,ACAmazonia,Mabea fistulifera
AC,Amazonia,ACAmazonia,Psidium guajava
AC,Amazonia,ACAmazonia,Senegalia polyphylla
AC,Amazonia,ACAmazonia,Spondias mombin
AC,Amazonia,ACAmazonia,Senna alata
AC,Amazonia,ACAmazonia,Trema micranthum
AC,Amazonia,ACAmazonia,Samanea tubulosa
AC,Amazonia,ACAmazonia,Solanum crinitum
AC,Amazonia,ACAmazonia,Handroanthus serratifolius
AC,Amazonia,ACAmazonia,Emmotum nitens
AC,Amazonia,ACAmazonia,Enterolobium schomburgkii
AC,Amazonia,ACAmazonia,Parkia multijuga
AC,Amazonia,ACAmazonia,Apuleia leiocarpa
AC,Amazonia,ACAmazonia,Parkia pendula
AC,Amazonia,ACAmazonia,Hymenaea intermedia
AC,Amazonia,ACAmazonia,Cedrela fissilis
AC,Amazonia,ACAmazonia,Trattinnickia rhoifolia
AL,Mata Atlantica,ALMata Atlantica,Hymenaea courbaril
AL,Mata Atlantica,ALMata Atlantica,Bixa orellana
AL,Mata Atlantica,ALMata Atlantica,Guazuma ulmifolia
AL,Mata Atlantica,ALMata Atlantica,Cecropia pachystachya
AL,Mata Atlantica,ALMata Atlantica,Apeiba tibourbou
AL,Mata Atlantica,ALMata Atlantica,Astronium fraxinifolium
AL,Mata Atlantica,ALMata Atlantica,Astronium urundeuva
AL,Mata Atlantica,ALMata Atlantica,Handroanthus impetiginosus
AL,Mata Atlantica,ALMata Atlantica,Psidium guajava
AL,Mata Atlantica,ALMata Atlantica,Senegalia polyphylla
AL,Mata Atlantica,ALMata Atlantica,Senna alata
AL,Mata Atlantica,ALMata Atlantica,Trema micranthum
AL,Mata Atlantica,ALMata Atlantica,Handroanthus serratifolius
AL,Mata Atlantica,ALMata Atlantica,Psidium cattleyanum
AL,Mata Atlantica,ALMata Atlantica,Apuleia leiocarpa
AL,Mata Atlantica,ALMata Atlantica,Schinus terebinthifolia
AL,Mata Atlantica,ALMata Atlantica,Pterogyne nitens
AL,Mata Atlantica,ALMata Atlantica,Cedrela fissilis
AL,Mata Atlantica,ALMata Atlantica,Andira fraxinifolia
AM,Amazonia,AMAmazonia,Terminalia grandis
AM,Amazonia,AMAmazonia,Terminalia tetraphylla
AM,Amazonia,AMAmazonia,Hymenaea courbaril
AM,Amazonia,AMAmazonia,Bixa orellana
AM,Amazonia,AMAmazonia,Guazuma ulmifolia
AM,Amazonia,AMAmazonia,Apeiba tibourbou
AM,Amazonia,AMAmazonia,Schizolobium parahyba var. amazonicum
AM,Amazonia,AMAmazonia,Mabea fistulifera
AM,Amazonia,AMAmazonia,Psidium guajava
AM,Amazonia,AMAmazonia,Senegalia polyphylla
AM,Amazonia,AMAmazonia,Spondias mombin
AM,Amazonia,AMAmazonia,Senna alata
AM,Amazonia,AMAmazonia,Trema micranthum
AM,Amazonia,AMAmazonia,Curatella americana
AM,Amazonia,AMAmazonia,Samanea tubulosa
AM,Amazonia,AMAmazonia,Tachigali vulgaris
AM,Amazonia,AMAmazonia,Solanum crinitum
AM,Amazonia,AMAmazonia,Handroanthus serratifolius
AM,Amazonia,AMAmazonia,Emmotum nitens
AM,Amazonia,AMAmazonia,Enterolobium schomburgkii
AM,Amazonia,AMAmazonia,Parkia multijuga
AM,Amazonia,AMAmazonia,Apuleia leiocarpa
AM,Amazonia,AMAmazonia,Parkia pendula
AM,Amazonia,AMAmazonia,Ormosia paraensis
AM,Amazonia,AMAmazonia,Hymenaea intermedia
AM,Amazonia,AMAmazonia,Cedrela fissilis
AM,Amazonia,AMAmazonia,Trattinnickia rhoifolia
AM,Amazonia,AMAmazonia,Copaifera martii
AP,Amazonia,APAmazonia,Terminalia tetraphylla
AP,Amazonia,APAmazonia,Hymenaea courbaril
AP,Amazonia,APAmazonia,Bixa orellana
AP,Amazonia,APAmazonia,Guazuma ulmifolia
AP,Amazonia,APAmazonia,Apeiba tibourbou
AP,Amazonia,APAmazonia,Mabea fistulifera
AP,Amazonia,APAmazonia,Senegalia polyphylla
AP,Amazonia,APAmazonia,Spondias mombin
AP,Amazonia,APAmazonia,Senna alata
AP,Amazonia,APAmazonia,Trema micranthum
AP,Amazonia,APAmazonia,Curatella americana
AP,Amazonia,APAmazonia,Solanum crinitum
AP,Amazonia,APAmazonia,Handroanthus serratifolius
AP,Amazonia,APAmazonia,Enterolobium schomburgkii
AP,Amazonia,APAmazonia,Parkia pendula
AP,Amazonia,APAmazonia,Ormosia paraensis
AP,Amazonia,APAmazonia,Hymenaea intermedia
AP,Amazonia,APAmazonia,Trattinnickia rhoifolia
