Specie,Supply_Type,Total_MORFO_Supply_Kg
Achyrocline satureioides,supplier_top,22
Acnistus arborescens,supplier_2ry,0
Acnistus arborescens,supplier_top,8.333
Acrocomia aculeata,pilot_top,6173.867
Acrocomia aculeata,supplier_top,77.667
Adenanthera pavonina,supplier_2ry,3.337
Adenanthera pavonina,supplier_top,22.1
Aegiphila integrifolia,supplier_2ry,3.666
Aegiphila integrifolia,supplier_top,10
Aegiphila sellowiana,supplier_2ry,0.3
Aegiphila verticillata,supplier_top,0
Agonandra brasiliensis,pilot_top,5.333
Albizia inundata,pilot_top,266.717
Albizia inundata,supplier_2ry,10
Albizia niopoides,supplier_2ry,1.667
Albizia niopoides,supplier_top,6.667
Albizia polycephala,supplier_2ry,0
Alchornea triplinervia,supplier_top,2.333
Aldama bracteata,supplier_top,1.667
Alibertia edulis,supplier_top,4.833
Alibertia sessilis,pilot_top,62
Allagoptera caudecens,supplier_2ry,3.333
Aloysia virgata,supplier_top,0.667
Amburana acreana,supplier_top,10
Amburana cearensis,pilot_top,1.45
Amburana cearensis,supplier_top,10.833
Anacardium giganteum,pilot_top,870
Anacardium humile,pilot_top,234.149
Anacardium humile,supplier_2ry,0.003
Anacardium humile,supplier_top,73.334
Anacardium microcarpum,supplier_2ry,13.333
Anacardium nanum,supplier_top,90.89
Anacardium occidentale,pilot_top,298.849
Anacardium occidentale,supplier_2ry,168.673
Anacardium occidentale,supplier_top,995.395
Anacardium spruceanum,supplier_2ry,0.003
Anadenanthera colubrina,pilot_top,242
Anadenanthera colubrina,supplier_2ry,11.003
Anadenanthera colubrina,supplier_top,168.807
Anadenanthera colubrina var. cebil,supplier_2ry,10.006
Anadenanthera colubrina var. cebil,supplier_top,111.64
Anadenanthera peregrina,pilot_top,3.333
Anadenanthera peregrina,supplier_top,54.7
Anadenanthera peregrina var. falcata,supplier_2ry,2
Anadenanthera sp.,supplier_2ry,5
Andira anthelmia,pilot_top,687.333
Andira anthelmia,supplier_2ry,1.667
Andira cujabensis,pilot_top,206.628
Andira cujabensis,supplier_top,99.333
Andira fraxinifolia,supplier_2ry,0.003
Andira fraxinifolia,supplier_top,139.334
Andira inermis,pilot_top,4.017
Andira legalis,supplier_2ry,0
Andira sp.,supplier_2ry,166.667
Andira sp.,supplier_top,133.833
Andira surinamensis,supplier_2ry,133.333
Andira vermifuga,supplier_2ry,100.003
Andira vermifuga,supplier_top,292.086
Andropogon bicornis,supplier_top,17.667
Andropogon fastigiatus,supplier_top,197.667
Andropogon leucostachyus,supplier_top,2.667
Anemopaegma cf. arvense,supplier_2ry,0.003
Anemopaegma cf. arvense,supplier_top,0.666
Aniba canelilla,supplier_2ry,0.003
Annona Squamosa,pilot_top,0.667
Annona Squamosa,supplier_2ry,0.003
Annona Squamosa,supplier_2ry,0.033
Annona cacans,pilot_top,0.467
Annona cf. cacans,supplier_top,1.667
Annona coriacea,pilot_top,1.266
Annona coriacea,supplier_top,0.833
Annona crassiflora,pilot_top,0.543
Annona crassiflora,supplier_2ry,16.667
Annona crassiflora,supplier_top,0
Annona mucosa,pilot_top,27.117
Annona muricata,pilot_top,20.333
Annona muricata,supplier_2ry,3.333
Annona muricata,supplier_top,1.333
Annona sp.,supplier_2ry,0.003
Annona sp.,supplier_top,0.333
Annona squamosa,supplier_top,23
Annona sylvatica,supplier_top,1
Apeiba tibourbou,pilot_top,707.17
Apeiba tibourbou,supplier_2ry,108
Apeiba tibourbou,supplier_top,250.6
Apuleia leiocarpa,pilot_top,10
Apuleia leiocarpa,supplier_2ry,23.333
Apuleia leiocarpa,supplier_top,62.734
Arapatiella psilophylla,supplier_2ry,0
Aristida gibbosa,supplier_top,294.167
Aristida longifolia,supplier_top,215.5
Aristida riparia,supplier_top,202.167
Aspidorma sp.,pilot_top,3.333
Aspidosperma Spruceanum,supplier_2ry,0.003
Aspidosperma brasiliense,pilot_top,0.333
Aspidosperma discolor,supplier_top,6.667
Aspidosperma macrocarpon,pilot_top,0.333
Aspidosperma macrocarpon,supplier_2ry,1.336
Aspidosperma macrocarpon,supplier_top,1
Aspidosperma multiflorum,pilot_top,0.333
Aspidosperma parvifolium,supplier_2ry,6.667
Aspidosperma sp.,supplier_2ry,33.333
Aspidosperma spruceanum,supplier_top,5
Aspidosperma subincanum,pilot_top,6
Aspidosperma subincanum,supplier_top,5
Aspidosperma tomentosum,pilot_top,6.183
Aspidosperma tomentosum,supplier_top,0.333
Aspidosperma verbascifolium,pilot_top,0.333
Astrocaryum aculeatissimum,supplier_top,13.333
Astrocaryum aculeatum,pilot_top,3.333
Astrocaryum aculeatum,supplier_top,48.917
Astrocaryum cf. campestre,supplier_2ry,0.003
Astrocaryum huaimi,supplier_top,28.233
Astronium fraxinifolium,pilot_top,3.233
Astronium fraxinifolium,supplier_2ry,13.003
Astronium fraxinifolium,supplier_top,308.3
Astronium graveolens,supplier_2ry,5
Astronium graveolens,supplier_top,8.333
Astronium lecointei,pilot_top,1.534
Astronium lecointei,supplier_2ry,0.003
Astronium lecointei,supplier_top,6.667
Astronium urundeuva,pilot_top,71.804
Astronium urundeuva,supplier_2ry,20.003
Astronium urundeuva,supplier_top,294.734
Attalea dubia,supplier_top,32
Attalea geraensis,supplier_2ry,0.003
Attalea maripa,pilot_top,67184.534
Attalea maripa,supplier_top,186
Attalea phalerata,supplier_2ry,0.003
Attalea phalerata,supplier_top,230
Attalea speciosa,pilot_top,199.562
Axonopus aureus,supplier_top,36.333
Axonopus siccus,supplier_top,44
Baccharis dracunculifolia,supplier_2ry,2.5
Bactris gasipaes,pilot_top,5.333
Bactris setosa,pilot_top,19082
Bagassa guianensis,pilot_top,1.667
Balfourodendron riedelianum,supplier_2ry,2
Bauhinia cheilantha,supplier_top,30
Bauhinia cupulata,pilot_top,0.333
Bauhinia forficata,supplier_2ry,0.003
Bauhinia forficata,supplier_top,36
Bauhinia longicuspis,pilot_top,0.04
Bauhinia longifolia,supplier_top,0.2
Bauhinia rufa,supplier_top,9.72
Bauhinia sp.,supplier_top,0
Bauhinia ungulata,supplier_top,15.5
Bauhinia variegata,supplier_2ry,6.667
Bauhinia variegata var. candida,supplier_2ry,27.667
Bellucia grossularioides,supplier_2ry,83.333
Bellucia sp.,pilot_top,0.027
Bertholletia excelsa,pilot_top,8
Bertholletia excelsa,supplier_2ry,666.667
Bertholletia excelsa,supplier_top,0
Bixa arborea,pilot_top,5.333
Bixa arborea,supplier_top,31
Bixa orellana,pilot_top,23222.779
Bixa orellana,supplier_2ry,125.439
Bixa orellana,supplier_top,598.553
Bowdichia virgilioides,pilot_top,1858
Bowdichia virgilioides,supplier_2ry,41.673
Bowdichia virgilioides,supplier_top,26.333
Brosimum gaudichaudii,pilot_top,68.528
Brosimum potabile,supplier_2ry,80
Buchenavia grandis,supplier_2ry,0.003
Buchenavia grandis,supplier_top,239.569
Buchenavia sp.,supplier_2ry,150
Buchenavia sp.,supplier_top,59.5
Buchenavia tetraphylla,supplier_top,42
Burdachia prismatocarpa,supplier_2ry,33.333
Butia capitata,supplier_top,16.667
Byrsonima aerugo,supplier_2ry,116.667
Byrsonima arthropoda,supplier_top,0
Byrsonima basiloba,supplier_top,0
Byrsonima coccolobifolia,pilot_top,0.333
Byrsonima coccolobifolia,supplier_top,0
Byrsonima crassifolia,pilot_top,450.78
Byrsonima crassifolia,supplier_2ry,66.666
Byrsonima crispa,supplier_2ry,7.006
Byrsonima crispa,supplier_top,0
Byrsonima cydoniifolia,supplier_top,122.443
Byrsonima intermedia,supplier_top,12.478
Byrsonima pachyphylla,pilot_top,0.333
Byrsonima pachyphylla,supplier_top,1.667
Byrsonima riparia,supplier_top,0
Byrsonima sericea,supplier_2ry,0.667
Byrsonima sp.,pilot_top,4.665
Byrsonima sp.,supplier_2ry,233.333
Byrsonima sp.,supplier_top,19.036
Byrsonima verbascifolia,supplier_top,2
Cabralea oblongifoliola,supplier_2ry,0
Caesalpinia echinata,supplier_2ry,1.67
Caesalpinia ferrea,supplier_2ry,0.033
Caesalpinia ferrea,supplier_top,10
